"fips","date.x","days_from_start.x","county","state","log_rolled_cases.x","r","t0","lm_predict","r.grf","t0.grf","grf_predict","date.y","days_from_start.y","log_rolled_cases.y","lm_mse","grf_mse","Predicted_Double_Days","Predicted_Outbreak_Class","Actual_Outbreak_Class"
1001,"2020-04-02",72,"Autauga","Alabama",2.00533356952611,0.123670573300048,55.6217785815733,1.90183345915191,0.105857996297122,53.1182410695042,2.73979114102742,"2020-04-09",79,2.54272622067683,0.410743531775032,0.0388345828327874,6.54789628375755,4,3
1003,"2020-04-02",72,"Baldwin","Alabama",2.79902197930793,0.250442176938571,60.609854227928,2.60213072586681,0.247032236426635,60.5009416094679,4.56986376600005,"2020-04-09",79,3.68530163276605,1.17325921355293,0.782450167551471,2.80589768601233,4,4
1009,"2020-04-02",72,"Blount","Alabama",1.6376087894008,0.108111554234818,56.7875447406509,1.53653062758104,0.103463293600255,56.1490265376854,2.36423697638308,"2020-04-09",79,2.30258509299405,0.586839443979206,0.00380095472541475,6.69945017638832,4,3
1011,"2020-04-02",72,"Bullock","Alabama",0.998528830111126,0,71,0,0.0906410397764216,60.4837006219905,1.67833662843429,"2020-04-09",79,0.887303195000903,0.787306959858811,0.625733892809408,7.64716713609736,3,0
1013,"2020-04-02",72,"Butler","Alabama",0,0,70,0,0.0906410397764216,71,0.725128318211373,"2020-04-09",79,0.538996500732684,0.290517227802079,0.0346450534779197,7.64716713609736,3,3
1015,"2020-04-02",72,"Calhoun","Alabama",1.96611285637283,0.223109477477511,63.3737215352756,1.70149500336266,0.220063712939544,63.3027719136817,3.45439029553409,"2020-04-09",79,3.60316593583991,3.61635233542889,0.0221341911484062,3.14975681951875,4,4
1017,"2020-04-02",72,"Chambers","Alabama",3.54715129428523,0.28068324993609,59.1203232571078,3.33442627638518,0.248013257682431,57.8847684750949,5.23685735721048,"2020-04-09",79,4.68345310438213,1.81987338265553,0.306256267048498,2.79479890324043,4,4
1019,"2020-04-02",72,"Cherokee","Alabama",0.693147180559945,0.168236118310607,68.0244058106694,0.50060241608058,0.158690343173042,67.84541348849,1.77012516146491,"2020-04-09",79,1.81528996663825,1.72840335559132,0.00203985962634556,4.36792287860964,4,4
1021,"2020-04-02",72,"Chilton","Alabama",2.30258509299405,0.188647115570734,59.7332664328978,2.12543678933781,0.179224761874812,59.140942316763,3.5592348843363,"2020-04-09",79,2.95936462938312,0.695435642402637,0.359844322777595,3.86747441206872,4,3
1023,"2020-04-02",72,"Choctaw","Alabama",0.82667857318447,0.207639364778243,68.0186808793826,0.61903920840623,0.207111794744164,68.0098130133619,2.27619735137658,"2020-04-09",79,1.66500776358891,1.09405021843095,0.373552712220056,3.34672963177283,4,4
